Symbol,ZSH2020,,,
5/25/2018,1004.75,1004.75,1004.75,1004.75
5/29/2018,996,996,996,996
5/30/2018,997,997,997,997
5/31/2018,999.25,999.25,999.25,999.25
6/1/2018,1003.5,1003.5,1003.5,1003.5
6/4/2018,993,993,993,993
6/5/2018,997,997,997,997
6/6/2018,995.25,995.25,995.25,995.25
6/7/2018,989.25,989.25,989.25,989.25
6/8/2018,982,982,982,982
6/11/2018,975,975,973.25,973.25
6/12/2018,975.75,975.75,975.75,975.75
6/13/2018,975,975,964.5,964.5
6/14/2018,955.25,955.25,955.25,955.25
6/15/2018,945,945,945,945
6/18/2018,943.75,943.75,943.75,943.75
6/19/2018,932.25,932.25,932.25,932.25
6/20/2018,935.25,935.25,935.25,935.25
6/21/2018,926.75,926.75,926.75,926.75
6/22/2018,934.75,934.75,934.75,934.75
6/25/2018,917.5,917.5,917.5,917.5
6/26/2018,913.5,913.5,913.5,913.5
6/27/2018,915.25,915.25,915.25,915.25
6/28/2018,911.75,911.75,911.75,911.75
6/29/2018,909,909,909,909
7/2/2018,904.75,912.5,904.75,904.75
7/3/2018,901.75,905,901.75,901.75
7/5/2018,900,902.5,895,895
7/6/2018,924,925.25,924,924
7/9/2018,905,908.5,904.25,908.5
7/10/2018,910,915.25,908.5,912.5
7/11/2018,904.25,904.75,894.75,895
7/12/2018,896,899.5,891,896
7/13/2018,887,887,882,887
7/16/2018,902.25,903,884.5,896
7/17/2018,900.25,905.25,900.25,900.25
7/18/2018,902,904.5,898.75,902
7/19/2018,907.5,907.5,900.5,907.5
7/20/2018,909.5,912,904,909.5
7/23/2018,909.25,914.25,909.25,909.25
7/24/2018,912.5,920.25,905.5,918
7/25/2018,920.5,923.5,917.25,922.5
7/26/2018,931.5,937.5,917.5,919.5
7/27/2018,924.75,928.75,921.75,927
7/30/2018,932,935.75,932,932
7/31/2018,953,955.5,947,953.25
8/1/2018,943,943,940,943
8/2/2018,941.75,941.75,933.25,941.75
8/3/2018,931.5,945.5,929.25,945.5
8/6/2018,934.5,939,934,938.5
8/7/2018,945.25,949.75,943.5,949
8/8/2018,953,956.75,953,955.75
8/9/2018,950.75,952,949,949.25
8/10/2018,946.25,946.25,917.5,919
8/13/2018,921.75,922.75,912.75,921.75
8/14/2018,928.75,928.75,920.25,928.75
8/15/2018,925.25,930,923.25,925.25
8/16/2018,945.75,949,945.75,945.75
8/17/2018,937.5,943.5,932.75,940.75
8/20/2018,941,941,941,941
8/21/2018,938,943.25,937.75,937.75
8/22/2018,927.5,927.5,927.25,927.5
8/23/2018,912,912,912,912
8/24/2018,915,917,914,914
8/27/2018,911.5,911.5,903.75,911.5
8/28/2018,904,904,903.75,904
8/29/2018,911.25,912.5,906.5,906.5
8/30/2018,900.75,908.25,899.75,900.75
8/31/2018,912.5,914,912.5,913.25
9/4/2018,913,918,908.75,913
9/5/2018,908.25,908.25,907.5,908.25
9/6/2018,908.5,912,907,910.25
9/7/2018,914.5,916.25,909,915
9/10/2018,915.5,919.25,913.5,914.75
9/11/2018,905,905,900,901.75
9/12/2018,904.75,912.25,898,912
9/13/2018,913.5,915.75,907.75,908
9/14/2018,909.25,910.25,906.75,908
9/17/2018,909.5,910,902.5,907
9/18/2018,900.75,901.25,898,898.75
9/19/2018,903,911.5,902.75,909.25
9/20/2018,913,931,908.25,928.25
9/21/2018,929.5,929.75,924.5,929.5
9/24/2018,930,930.25,925,928.25
9/25/2018,933.5,940,928.25,930
9/26/2018,931.5,934.25,929.5,931.5
9/27/2018,932,938.25,932,936.75
9/28/2018,929.75,929.75,927.25,929.75
10/1/2018,941,943,938.25,939
10/2/2018,944,948.75,943.25,948.75
10/3/2018,946,950.75,945.5,946.5
10/4/2018,948.5,950.75,944.75,944.75
10/5/2018,944.75,954.25,939.5,953.75
10/8/2018,952,954.75,950,952
10/9/2018,946.75,949.25,945.75,948.5
10/10/2018,936.75,937.25,934.5,937
10/11/2018,934.25,944.5,934.25,944.5
10/12/2018,948.5,951.5,948,951.5
10/15/2018,959,968.75,959,968.75
10/16/2018,961,963.75,959.25,963.75
10/17/2018,962.75,966.25,960.75,962.75
10/18/2018,948.75,949.25,943.25,943.75
10/19/2018,940,944.25,936.75,936.75
10/22/2018,941.5,942,937.5,938.25
10/23/2018,941,943.25,933,938.25
10/24/2018,936,937,934.5,935
10/25/2018,929.75,929.75,924.25,926.25
10/26/2018,932.25,932.5,928.25,928.25
10/29/2018,934.5,934.5,922.25,924
10/30/2018,920.5,925.5,918.25,919
10/31/2018,917,924.5,916.5,922.5
11/1/2018,930,951.75,921,947
11/2/2018,945.5,955.75,943.25,949.25
11/5/2018,952.25,955.75,945.5,951.75
11/6/2018,951,952,946,951
11/7/2018,947,947,945.5,946.75
11/8/2018,947,948.75,935,948.75
11/9/2018,951.25,953.75,946.25,953.75
11/12/2018,949,952.5,948.5,952.5
11/13/2018,952,956,947.25,948.25
11/14/2018,951,956.25,950.75,954.5
11/15/2018,962,962.5,951.75,954.75
11/16/2018,957,958.25,949,955
11/19/2018,946.75,946.75,938.75,940.25
11/20/2018,945.75,950.25,943.75,947.5
11/21/2018,946,954.75,945,949.25
11/23/2018,949.25,950,947.25,949.25
11/26/2018,935,935.75,930.75,935.75
11/27/2018,938,948.75,938,945.75
11/28/2018,957.5,959.25,953,955.75
11/29/2018,958,958.5,950,951.25
11/30/2018,955.75,958.75,955.5,956.25
12/3/2018,970.25,975,966.5,967.25
12/4/2018,971.75,972.25,966.25,971.75
12/5/2018,970,973.25,970,971.75
12/6/2018,970,971.5,960.25,970.75
12/7/2018,975,977,972.75,977
12/10/2018,972.5,975.75,971.5,973.5
12/11/2018,973.5,978.5,973.5,977.5
12/12/2018,979,985,976.25,981
12/13/2018,980,980,970.25,971.25
12/14/2018,972.5,972.75,966,967
12/17/2018,969,972.25,968,969.5
12/18/2018,974.75,974.75,971.5,972.25
12/19/2018,965.75,973,964.75,965.5
12/20/2018,965.5,967.5,958.75,959
12/21/2018,955.25,955.25,951.75,954
12/24/2018,954.25,955.75,949.75,954
12/26/2018,955.5,956.75,942.75,943.25
12/27/2018,948.25,948.5,942.25,944
12/28/2018,951.75,958,951.75,954
12/31/2018,955,959,950.5,953.75
1/2/2019,959.75,965,952.75,963
1/3/2019,962,968,960,967
1/4/2019,970,975,965.5,975
1/7/2019,977,980.25,974.25,978
1/8/2019,976.5,979.25,970.75,976
1/9/2019,978.5,982.25,975.25,981.25
1/10/2019,974.25,975,965.5,967
1/11/2019,970.5,972,967.25,971.25
1/14/2019,968,969.25,963.75,966
1/15/2019,961.5,969.25,955.75,957
1/16/2019,959.25,962.25,954.5,957
1/17/2019,957.5,968.75,956.5,965.25
1/18/2019,969.75,975.75,964.75,972.5
1/22/2019,970.75,974,958.5,968
1/23/2019,967.25,973.25,967.25,972.25
1/24/2019,973.75,974.75,967.75,972.25
1/25/2019,972,978.5,969.25,978
1/28/2019,977,977,971.25,976
1/29/2019,971.25,973.5,971,972
1/30/2019,972.75,975.5,971.25,973.25
1/31/2019,975,978.25,968.5,969.75
2/1/2019,973.75,982,970.75,971
2/4/2019,970.5,975,969.75,971.25
2/5/2019,968.25,973.5,968,973.25
2/6/2019,972.5,977,972,976.5
2/7/2019,975.5,975.75,967.75,970.25
2/8/2019,970,973,965,971
2/11/2019,969.5,973.5,962,964.25
2/12/2019,967.5,977.25,966,975
2/13/2019,974.25,976.75,971,973.25
2/14/2019,971.25,974.5,961.25,962.25
2/15/2019,963.5,966.75,960,966.25
2/19/2019,968,969,954.75,960.5
2/20/2019,958.5,964.25,953.5,963.25
2/21/2019,962.5,972.5,960.75,968.5
2/22/2019,968,970.75,966,968.75
2/25/2019,973,977,968.5,969.5
2/26/2019,967.25,968,959.75,964
2/27/2019,964,969.25,961,964
2/28/2019,964.75,965.25,958,959
3/1/2019,961.25,966,950.75,961
3/4/2019,965.25,971.75,962.75,966.25
3/5/2019,966.75,968,960.75,965
3/6/2019,965,966.5,952,953.75
3/7/2019,952.5,958,948.75,950.75
3/8/2019,948.5,951.75,942,946
3/11/2019,946,948.25,940.5,942
3/12/2019,943,950.5,940,948.5
3/13/2019,947.25,953,943,952
3/14/2019,952,956.25,947,948.75
3/15/2019,949,959.25,948,956.5
3/18/2019,956.5,958,950,953.25
3/19/2019,952.5,956.5,949.25,953.75
3/20/2019,952.5,956,950.25,955
3/21/2019,954.5,960.75,953,958.75
3/22/2019,957.75,959.75,949,949.75
3/25/2019,949.75,954,947.75,952.5
3/26/2019,951.75,953,946.5,947.5
3/27/2019,946.5,947.25,934,937.25
3/28/2019,937,940.5,935.75,937
3/29/2019,936.25,940.25,932.25,933.5
4/1/2019,934,946.25,932.75,943
4/2/2019,944.25,948.75,941.25,948.25
4/3/2019,947,951.25,944.5,947.75
4/4/2019,946.75,955.25,945.25,954.75
4/5/2019,952.75,952.75,946.75,949
4/8/2019,948.75,952.75,947.75,948.25
4/9/2019,947.25,950.5,944,948
4/10/2019,947,952.25,946.5,950.5
4/11/2019,949.25,951.75,942.75,944.5
4/12/2019,943.5,947,942.75,943.75
4/15/2019,943.75,950,943.5,946.5
4/16/2019,945.75,946.25,935.75,937.5
4/17/2019,939,939.75,928.5,929.5
4/18/2019,929,932.25,927.25,930.75
4/22/2019,930.5,932.75,927,927.5
4/23/2019,928,929,914,915
4/24/2019,915,917.25,907.5,907.75
4/25/2019,908.75,914.75,906.5,912
4/26/2019,911.5,911.75,905.25,906.25
4/29/2019,908.25,911.5,899.25,899.25
4/30/2019,899.75,902.75,891.5,893.75
5/1/2019,893.75,897.25,885,892.25
5/2/2019,891.75,893.5,881.5,883.5
5/3/2019,884.5,887.75,882.25,883.5
5/6/2019,873,877,862,874.5
5/7/2019,873.25,878.5,871.5,873.25
5/8/2019,873.5,877,869.25,872.25
5/9/2019,871.75,871.75,853.75,859.25
5/10/2019,859.5,864,854.75,857.75
5/13/2019,855.5,856,841.5,852.75
5/14/2019,855.75,885,855.75,879.25
5/15/2019,878,892.25,875,881.5
5/16/2019,880.75,891,878.75,885.75
5/17/2019,886.25,887.25,866.5,868
5/20/2019,872.75,883.5,871,878.25
5/21/2019,888,890,865.5,868.5
5/22/2019,866,881.5,866,875.25
5/23/2019,875.75,880,865.75,869.5
5/24/2019,869.75,878.75,868,876
5/28/2019,885.25,902.75,884,901.5
5/29/2019,909.5,935.5,909.25,915.5
5/30/2019,914.25,931.75,908,931.75
5/31/2019,930,933.5,920.5,921.75
6/3/2019,920,930.25,918.25,924
6/4/2019,934.25,937.5,924.5,927.75
6/5/2019,928,929,916.25,917.75
6/6/2019,917,919.25,906,916.25
6/7/2019,916.25,918.75,903.75,905.5
6/10/2019,902.75,914.75,898.25,909
6/11/2019,905.25,913.75,902,910.5
6/12/2019,908.75,930,904.25,926.25
6/13/2019,926.25,934.75,925.5,934
6/14/2019,933,942,931.25,941
6/17/2019,944.5,956,944.25,954.5
6/18/2019,959.75,962,946.75,955.75
6/19/2019,954,956.25,946,947.5
6/20/2019,944.25,961.25,942,960.25
6/21/2019,960,961.5,946.5,947
6/24/2019,945.5,954.5,944.25,952
6/25/2019,956,958.25,941.5,944.25
6/26/2019,942,943,935.25,936.75
6/27/2019,934.25,939.75,927.25,931.75
6/28/2019,931.75,948.5,931,941.5
7/1/2019,950,950,927.25,928.75
7/2/2019,929.25,933,918.75,919.5
7/3/2019,919.75,929.25,917,929
7/5/2019,928,928,913.75,915.25
7/8/2019,922,922.5,912.5,918.75
7/9/2019,918.75,926,911.75,925.75
7/10/2019,926.25,935,921.5,934.25
7/11/2019,933.5,939,926,938.5
7/12/2019,938.5,952.25,934.25,952
7/15/2019,953.75,956.25,939.75,941
7/16/2019,938,938.25,924.5,927.5
7/17/2019,927.25,933.75,921.5,922.5
7/18/2019,920,925,915.5,921.25
7/19/2019,922.5,945,920,940.5
7/22/2019,941,943,927.25,928.25
7/23/2019,930.75,932.5,921.25,926.25
7/24/2019,926.5,935,924.5,931
7/25/2019,931,935.75,922.25,924.5
7/26/2019,925.75,930.75,923.25,925.75
7/29/2019,925,933.25,924,929.25
7/30/2019,928.25,930.25,914.75,922.25
7/31/2019,920.75,925.25,907,908.5
8/1/2019,907.25,908.5,886.75,891.75
8/2/2019,893.25,898.25,889.5,894.25
8/5/2019,896.5,899.5,880.75,893.75
8/6/2019,891.25,897.25,890,890.75
8/7/2019,890.75,894.25,887.25,891.75
8/8/2019,892.25,909,890,907.5
8/9/2019,908,918.5,906.5,916
8/12/2019,914.5,916.5,901.75,905.25
8/13/2019,904,922.25,901.75,914
8/14/2019,915,918.25,902.75,903.75
8/15/2019,904.75,910.25,896.5,897
8/16/2019,897,907,897,906.5
8/19/2019,901.25,904,891.75,893.75
8/20/2019,895.75,901.5,893,895.25
8/21/2019,895.25,903.25,894,900.25
8/22/2019,900,908.75,894.25,895.5
8/23/2019,895.5,898.75,883.5,885.25
8/26/2019,883.5,897.75,883.5,893.5
8/27/2019,891.5,892,883.25,886.25
8/28/2019,886.25,894,879.5,892
8/29/2019,891.5,897.5,891.5,894
8/30/2019,893.5,903.25,892.25,894.25
9/2/2019,,,,894.625
9/3/2019,,,,895
9/4/2019,,,,901.75
9/5/2019,,,,888.75
9/6/2019,,,,886
9/9/2019,,,,885.75
9/10/2019,,,,899
9/11/2019,,,,894
9/12/2019,,,,921.25
9/13/2019,,,,924
9/16/2019,,,,925.75
9/17/2019,,,,919.5
9/18/2019,,,,915.25
9/19/2019,,,,918.25
9/20/2019,,,,908.75
9/23/2019,,,,917
9/24/2019,,,,919
9/25/2019,,,,915
9/26/2019,,,,915
9/27/2019,,,,910
9/30/2019,,,,930
10/1/2019,,,,941.5
10/2/2019,,,,938.5
10/3/2019,,,,936.5
10/4/2019,,,,940.75
10/7/2019,,,,940.5
10/8/2019,,,,947
10/9/2019,,,,949.75
10/10/2019,,,,949.5
10/11/2019,,,,961
10/14/2019,,,,965
10/15/2019,,,,959.25
10/16/2019,,,,954.5
10/17/2019,,,,957
10/18/2019,,,,959.25
10/21/2019,,,,959
10/22/2019,,,,959.75
10/23/2019,,,,959.5
10/24/2019,,,,958.5
10/25/2019,,,,946.75
10/28/2019,,,,947.75
10/29/2019,,,,946.25
10/30/2019,,,,943.5
10/31/2019,,,,945.25
11/1/2019,,,,948.5
