Symbol,ZSN2020,,,
4/19/2017,956.75,956.75,956.75,956.75
4/20/2017,952.25,952.25,952.25,952.25
4/21/2017,957.5,957.5,957.5,957.5
4/24/2017,961.5,961.5,961.5,961.5
4/25/2017,957,957,957,957
4/26/2017,955.25,955.25,955.25,955.25
4/27/2017,955.5,955.5,955.5,955.5
4/28/2017,954.75,954.75,954.75,954.75
5/1/2017,963.5,963.5,963.5,963.5
5/2/2017,963.75,963.75,963.75,963.75
5/3/2017,968.75,968.75,968.75,968.75
5/4/2017,963.25,963.25,963.25,963.25
5/5/2017,963.5,963.5,963.5,963.5
5/8/2017,960.25,960.25,960.25,960.25
5/9/2017,966.5,966.5,966.5,966.5
5/10/2017,966.25,966.25,966.25,966.25
5/11/2017,964,964,964,964
5/12/2017,959.75,959.75,959.75,959.75
5/15/2017,962,962,962,962
5/16/2017,968.75,968.75,968.75,968.75
5/17/2017,968.25,968.25,968.25,968.25
5/18/2017,952.5,952.5,952.5,952.5
5/19/2017,956.25,956.25,956.25,956.25
5/22/2017,958,958,958,958
5/23/2017,955.5,955.5,955.5,955.5
5/24/2017,956.25,956.25,956.25,956.25
5/25/2017,943.5,943.5,943.5,943.5
5/26/2017,937.75,937.75,937.75,937.75
5/30/2017,936.25,936.25,936.25,936.25
5/31/2017,938.25,938.25,938.25,938.25
6/1/2017,938.25,938.25,938.25,938.25
6/2/2017,934.5,934.5,934.5,934.5
6/5/2017,944.25,944.25,944.25,944.25
6/6/2017,947,947,947,947
6/7/2017,949.5,949.5,949.5,949.5
6/8/2017,953.25,953.25,953.25,953.25
6/9/2017,958.5,958.5,958.5,958.5
6/12/2017,949.5,949.5,949.5,949.5
6/13/2017,952.25,952.25,952.25,952.25
6/14/2017,955.75,955.75,955.75,955.75
6/15/2017,955.75,955.75,955.75,955.75
6/16/2017,963.25,963.25,963.25,963.25
6/19/2017,963,963,963,963
6/20/2017,956.75,956.75,956.75,956.75
6/21/2017,946.75,946.75,946.75,946.75
6/22/2017,936.25,936.25,936.25,936.25
6/23/2017,935.5,935.5,935.5,935.5
6/26/2017,937.5,937.5,937.5,937.5
6/27/2017,938.5,938.5,938.5,938.5
6/28/2017,941,941,941,941
6/29/2017,946,946,946,946
6/30/2017,966.75,966.75,966.75,966.75
7/3/2017,982.25,982.25,982.25,982.25
7/5/2017,988.75,988.75,988.75,988.75
7/6/2017,988.75,988.75,988.75,988.75
7/7/2017,990.75,990.75,990.75,990.75
7/10/2017,999.25,999.25,999.25,999.25
7/11/2017,1007.75,1007.75,1007.75,1007.75
7/12/2017,1011.75,1011.75,1011.75,1011.75
7/13/2017,984.5,984.5,984.5,984.5
7/14/2017,998.25,998.25,998.25,998.25
7/17/2017,993.5,993.5,993.5,993.5
7/18/2017,993,993,993,993
7/19/2017,1002.25,1002.25,1002.25,1002.25
7/20/2017,1014,1014,1014,1014
7/21/2017,1014,1014,1014,1014
7/24/2017,1004.75,1004.75,1004.75,1004.75
7/25/2017,992.75,992.75,992.75,992.75
7/26/2017,992.75,992.75,992.75,992.75
7/27/2017,997.5,997.5,997.5,997.5
7/28/2017,1000.75,1000.75,1000.75,1000.75
7/31/2017,996.75,996.75,996.75,996.75
8/1/2017,974.75,974.75,974.75,974.75
8/2/2017,986,986,986,986
8/3/2017,977.75,977.75,977.75,977.75
8/4/2017,973.25,973.25,973.25,973.25
8/7/2017,981.75,981.75,981.75,981.75
8/8/2017,981.5,981.5,981.5,981.5
8/9/2017,980.25,980.25,980.25,980.25
8/10/2017,962.5,962.5,962.5,962.5
8/11/2017,969,969,969,969
8/14/2017,963.25,963.25,963.25,963.25
8/15/2017,952,952,952,952
8/16/2017,954.25,954.25,954.25,954.25
8/17/2017,958.75,958.75,958.75,958.75
8/18/2017,958.5,958.5,958.5,958.5
8/21/2017,962,962,962,962
8/22/2017,965,965,965,965
8/23/2017,966.75,966.75,966.75,966.75
8/24/2017,973.75,973.75,973.75,973.75
8/25/2017,971.75,971.75,971.75,971.75
8/28/2017,970,970,970,970
8/29/2017,966.75,966.75,966.75,966.75
8/30/2017,965.75,965.75,965.75,965.75
8/31/2017,977.5,977.5,977.5,977.5
9/1/2017,982,982,982,982
9/5/2017,995.75,995.75,995.75,995.75
9/6/2017,997.25,997.25,997.25,997.25
9/7/2017,996.5,996.5,996.5,996.5
9/8/2017,990,990,990,990
9/11/2017,989.25,989.25,989.25,989.25
9/12/2017,983.5,983.5,983.5,983.5
9/13/2017,988.5,988.5,988.5,988.5
9/14/2017,998,998,998,998
9/15/2017,997.5,997.5,997.5,997.5
9/18/2017,997.5,997.5,997.5,997.5
9/19/2017,997.25,997.25,997.25,997.25
9/20/2017,1000.5,1000.5,1000.5,1000.5
9/21/2017,1001.25,1001.25,1001.25,1001.25
9/22/2017,1010.5,1010.5,1010.5,1010.5
9/25/2017,1000.25,1000.25,1000.25,1000.25
9/26/2017,996.25,996.25,996.25,996.25
9/27/2017,999,999,999,999
9/28/2017,997.75,997.75,997.75,997.75
9/29/2017,1000.75,1000.75,1000.75,1000.75
10/2/2017,996,996,996,996
10/3/2017,995.75,995.75,995.75,995.75
10/4/2017,998.25,998.25,998.25,998.25
10/5/2017,1004.75,1004.75,1004.75,1004.75
10/6/2017,1007.75,1007.75,1007.75,1007.75
10/9/2017,1000.25,1000.25,1000.25,1000.25
10/10/2017,1000.75,1000.75,1000.75,1000.75
10/11/2017,1000.75,1000.75,1000.75,1000.75
10/12/2017,1015.5,1015.5,1015.5,1015.5
10/13/2017,1015.5,1015.5,1015.5,1015.5
10/16/2017,1014.25,1014.25,1014.25,1014.25
10/17/2017,1010.5,1010.5,1010.5,1010.5
10/18/2017,1011,1011,1011,1011
10/19/2017,1014.5,1014.5,1014.5,1014.5
10/20/2017,1008.75,1008.75,1008.75,1008.75
10/23/2017,1013,1013,1013,1013
10/24/2017,1008.25,1008.25,1008.25,1008.25
10/25/2017,1008,1008,1008,1008
10/26/2017,1006.5,1006.5,1006.5,1006.5
10/27/2017,1009.25,1009.25,1009.25,1009.25
10/30/2017,1008.5,1008.5,1008.5,1008.5
10/31/2017,1007.5,1007.5,1007.5,1007.5
11/1/2017,1010.75,1010.75,1010.75,1010.75
11/2/2017,1017,1017,1017,1017
11/3/2017,1008.75,1008.75,1008.75,1008.75
11/6/2017,1013.5,1013.5,1013.5,1013.5
11/7/2017,1015,1015,1015,1015
11/8/2017,1017.5,1017.5,1017.5,1017.5
11/9/2017,1011.5,1011.5,1011.5,1011.5
11/10/2017,1009.75,1009.75,1009.75,1009.75
11/13/2017,999.25,999.25,999.25,999.25
11/14/2017,994,994,994,994
11/15/2017,1000.25,1000.25,1000.25,1000.25
11/16/2017,998.5,998.5,998.5,998.5
11/17/2017,1011.75,1011.75,1011.75,1011.75
11/20/2017,1013.75,1013.75,1013.75,1013.75
11/21/2017,1013.5,1013.5,1013.5,1013.5
11/22/2017,1018.25,1018.25,1018.25,1018.25
11/24/2017,1016,1016,1016,1016
11/27/2017,1017,1017,1017,1017
11/28/2017,1017,1017,1017,1017
11/29/2017,1015.75,1015.75,1015.75,1015.75
11/30/2017,1013.25,1013.25,1013.25,1013.25
12/1/2017,1019.75,1019.75,1019.75,1019.75
12/4/2017,1025,1025,1020,1020
12/5/2017,1024.75,1024.75,1024.75,1024.75
12/6/2017,1021,1021,1021,1021
12/7/2017,1011.75,1011.75,1011.75,1011.75
12/8/2017,1010.5,1010.5,1010.5,1010.5
12/11/2017,1006.5,1006.5,1006.5,1006.5
12/12/2017,1002,1002,1002,1002
12/13/2017,1004.75,1004.75,1004.75,1004.75
12/14/2017,999.75,999.75,999.75,999.75
12/15/2017,1000,1000.5,999,1000.5
12/18/2017,998,998,996.5,996.5
12/19/2017,995,995,991.75,991.75
12/20/2017,991.75,991.75,991.75,991.75
12/21/2017,991.75,991.75,991.75,991.75
12/22/2017,992,992,992,992
12/26/2017,1000,1000,1000,1000
12/27/2017,999.5,999.5,999.5,999.5
12/28/2017,995,995,995,995
12/29/2017,996.5,996.5,996.5,996.5
1/2/2018,1001.5,1001.5,1001.5,1001.5
1/3/2018,1002.25,1002.25,1002.25,1002.25
1/4/2018,1001.5,1001.5,1001.5,1001.5
1/5/2018,1003.25,1003.25,1003.25,1003.25
1/8/2018,1002,1002,1002,1002
1/9/2018,1001,1001,1001,1001
1/10/2018,994.25,994.25,994.25,994.25
1/11/2018,992.5,992.5,992.5,992.5
1/12/2018,1004.25,1004.25,1004.25,1004.25
1/16/2018,1007,1007,1007,1007
1/17/2018,1007,1007,1007,1007
1/18/2018,1011,1011,1011,1011
1/19/2018,1010.75,1010.75,1010.75,1010.75
1/22/2018,1013.5,1013.5,1013.5,1013.5
1/23/2018,1013.25,1013.25,1013,1013.25
1/24/2018,1015.75,1015.75,1015.75,1015.75
1/25/2018,1016.75,1016.75,1016.75,1016.75
1/26/2018,1013.5,1013.5,1013.5,1013.5
1/29/2018,1015.75,1015.75,1015.75,1015.75
1/30/2018,1018.75,1018.75,1018.75,1018.75
1/31/2018,1016.25,1016.25,1016.25,1016.25
2/1/2018,1011.75,1011.75,1011.75,1011.75
2/2/2018,1006,1006,1006,1006
2/5/2018,1000.75,1000.75,1000.75,1000.75
2/6/2018,1012,1012,1012,1012
2/7/2018,1008.25,1008.25,1008.25,1008.25
2/8/2018,1011.75,1011.75,1011.75,1011.75
2/9/2018,1007.5,1007.5,1007.5,1007.5
2/12/2018,1014.25,1014.25,1014.25,1014.25
2/13/2018,1014.25,1014.25,1014.25,1014.25
2/14/2018,1010.75,1010.75,1010.75,1010.75
2/15/2018,1015,1015,1015,1015
2/16/2018,1014.5,1014.5,1014.5,1014.5
2/20/2018,1016.5,1016.5,1016.5,1016.5
2/21/2018,1016,1016,1016,1016
2/22/2018,1015.25,1015.25,1015.25,1015.25
2/23/2018,1017.75,1017.75,1017.75,1017.75
2/26/2018,1018,1018,1018,1018
2/27/2018,1017,1017,1017,1017
2/28/2018,1015.75,1015.75,1015.75,1015.75
3/1/2018,1014,1014,1014,1014
3/2/2018,1010.75,1010.75,1010.75,1010.75
3/5/2018,1014.75,1014.75,1014.75,1014.75
3/6/2018,1022.25,1022.25,1022.25,1022.25
3/7/2018,1022.5,1022.5,1022.5,1022.5
3/8/2018,1022.5,1022.5,1022.5,1022.5
3/9/2018,1011.75,1011.75,1011.75,1011.75
3/12/2018,1019,1019,1019,1019
3/13/2018,1024.25,1024.25,1024.25,1024.25
3/14/2018,1013,1013,1013,1013
3/15/2018,1014.75,1014.75,1014.75,1014.75
3/16/2018,1020,1020,1020,1020
3/19/2018,1012.25,1012.25,1012.25,1012.25
3/20/2018,1014,1014,1014,1014
3/21/2018,1013,1013,1013,1013
3/22/2018,1012.75,1012.75,1012.75,1012.75
3/23/2018,1011.75,1011.75,1011.75,1011.75
3/26/2018,1011.25,1011.25,1011.25,1011.25
3/27/2018,1006.75,1006.75,1006.75,1006.75
3/28/2018,1003.25,1003.25,1003.25,1003.25
3/29/2018,1017.5,1017.5,1017.5,1017.5
4/2/2018,1006.25,1006.25,1006.25,1006.25
4/3/2018,1006.25,1006.25,1006.25,1006.25
4/4/2018,994,994,994,994
4/5/2018,1000.5,1000.5,1000.5,1000.5
4/6/2018,1000,1000,1000,1000
4/9/2018,1006,1006,1006,1006
4/10/2018,1011.25,1011.25,1011.25,1011.25
4/11/2018,1010.75,1010.75,1010.75,1010.75
4/12/2018,1008.25,1008.25,1008.25,1008.25
4/13/2018,1006.25,1006.25,1006.25,1006.25
4/16/2018,1003.75,1003.75,1003.75,1003.75
4/17/2018,1006,1006,1006,1006
4/18/2018,1007.75,1007.75,1007.75,1007.75
4/19/2018,1007.75,1007.75,1007.75,1007.75
4/20/2018,1002.75,1002.75,1002.75,1002.75
4/23/2018,1001,1001,1001,1001
4/24/2018,996,996,996,996
4/25/2018,992.25,998,992.25,998
4/26/2018,997,997,997,997
4/27/2018,1005.75,1005.75,1005.75,1005.75
4/30/2018,1005.75,1005.75,1005.75,1005.75
5/1/2018,1012.5,1012.5,1012.5,1012.5
5/2/2018,1004.75,1004.75,1004.75,1004.75
5/3/2018,1005,1005,1005,1005
5/4/2018,1002,1002,1002,1002
5/7/2018,989.25,989.25,989.25,989.25
5/8/2018,991.25,991.25,991.25,991.25
5/9/2018,988,988,988,988
5/10/2018,992.75,992.75,992.75,992.75
5/11/2018,989.75,989.75,989.75,989.75
5/14/2018,990.5,990.5,990.5,990.5
5/15/2018,990.5,990.5,990.5,990.5
5/16/2018,990,990,990,990
5/17/2018,989.75,989.75,989.75,989.75
5/18/2018,988,988.25,988,988.25
5/21/2018,1004.5,1004.5,1004.5,1004.5
5/22/2018,1006.25,1006.25,1006.25,1006.25
5/23/2018,1014,1014,1014,1014
5/24/2018,1012.25,1012.25,1012.25,1012.25
5/25/2018,1014,1014,1014,1014
5/29/2018,1005.75,1005.75,1005.75,1005.75
5/30/2018,1007.5,1007.5,1007.5,1007.5
5/31/2018,1008.5,1008.5,1008.5,1008.5
6/1/2018,1014,1014,1014,1014
6/4/2018,1002.25,1002.25,1002.25,1002.25
6/5/2018,1006.25,1006.25,1006.25,1006.25
6/6/2018,1004,1004,1004,1004
6/7/2018,997.5,997.5,997.5,997.5
6/8/2018,990.5,990.5,990.5,990.5
6/11/2018,988,988,985,985
6/12/2018,985.25,985.25,985.25,985.25
6/13/2018,975.75,975.75,975.75,975.75
6/14/2018,975,975,966.75,966.75
6/15/2018,955.75,955.75,955.75,955.75
6/18/2018,954.5,954.5,954.5,954.5
6/19/2018,950,950,943.75,943.75
6/20/2018,946,946,946,946
6/21/2018,937.25,937.25,937.25,937.25
6/22/2018,943,945.75,943,945.75
6/25/2018,928.75,928.75,928.75,928.75
6/26/2018,924.75,924.75,924.75,924.75
6/27/2018,926.25,926.25,926.25,926.25
6/28/2018,922.75,922.75,922.75,922.75
6/29/2018,920,920,920,920
7/2/2018,915.75,924.5,915.75,915.75
7/3/2018,913.25,917,913.25,913.25
7/5/2018,905.25,914,905.25,905.25
7/6/2018,910,937.75,909.5,935.75
7/9/2018,915,919.75,913.75,919.75
7/10/2018,923.75,926.5,919,923.75
7/11/2018,915,918.25,909.5,910
7/12/2018,910.5,914,905.75,912
7/13/2018,900,904.5,900,904.5
7/16/2018,913.5,920.25,900.5,913.5
7/17/2018,917.5,922.75,917.5,917.5
7/18/2018,919,921.75,915,919
7/19/2018,924.25,924.25,917,924.25
7/20/2018,925.75,928.25,920.5,925.75
7/23/2018,925.75,930,925.75,925.75
7/24/2018,934.25,936,921.5,934.25
7/25/2018,938.5,939.25,932.25,938.5
7/26/2018,953.25,953.25,932.5,934.5
7/27/2018,941.75,943.25,941.75,941.75
7/30/2018,946.75,950.5,946.75,946.75
7/31/2018,968,970.5,968,968
8/1/2018,958,958,955,958
8/2/2018,956.75,956.75,948.25,956.75
8/3/2018,960.25,960.25,944.25,960.25
8/6/2018,948.5,953,948,952.5
8/7/2018,958.75,963,956.75,962.75
8/8/2018,969.25,970.25,969.25,969.25
8/9/2018,963.75,965.25,962.75,963
8/10/2018,960.25,960.25,933,934
8/13/2018,937,937.5,929.25,937
8/14/2018,934,944.5,934,944.5
8/15/2018,940.5,940.5,940.25,940.5
8/16/2018,960.25,964.5,960.25,960.25
8/17/2018,952.75,958.25,947.75,955.5
8/20/2018,955.5,955.5,955.5,955.5
8/21/2018,953.5,956.5,953.5,953.5
8/22/2018,942.75,942.75,942.75,942.75
8/23/2018,935,938.5,927.25,927.25
8/24/2018,930,930.5,928.5,928.5
8/27/2018,918.25,926.5,918,926.5
8/28/2018,919,919,918.25,919
8/29/2018,921.75,926,921.75,921.75
8/30/2018,913,922.5,913,915.75
8/31/2018,925.25,928.5,923.5,928
9/4/2018,928,932.75,921.75,928
9/5/2018,923.5,923.5,922.5,923.5
9/6/2018,922,927.25,922,926.5
9/7/2018,931.5,932.25,925.25,931.5
9/10/2018,931.25,935.25,930,931.25
9/11/2018,922,922.75,916,917.25
9/12/2018,910.5,927.75,910.5,927.5
9/13/2018,923,930.75,923,923
9/14/2018,922.75,924.5,921.75,922.75
9/17/2018,920,924.25,918,921.75
9/18/2018,914,915,912.25,913
9/19/2018,912.25,926.25,912.25,923.5
9/20/2018,927.5,944.25,922.25,942.5
9/21/2018,937.5,944,937.5,944
9/24/2018,943.75,944,938,942.5
9/25/2018,953.75,953.75,942.25,944.5
9/26/2018,945.75,948.5,945.75,945.75
9/27/2018,949,951.25,947.75,950.5
9/28/2018,944,945.5,944,945.5
10/1/2018,956,958.25,954,955.5
10/2/2018,958,963,954.5,963
10/3/2018,960,965.75,959.75,961.5
10/4/2018,963,965.5,959,960
10/5/2018,955,969,955,969
10/8/2018,963.25,969.25,963,967.25
10/9/2018,960.5,963.5,958.75,963
10/10/2018,957,958,949.75,951.5
10/11/2018,948.25,958,948.25,958
10/12/2018,959,963.75,959,963.75
10/15/2018,964,982.5,964,982.5
10/16/2018,978,978,974.75,977.75
10/17/2018,977,979.5,976.75,977
10/18/2018,964.75,964.75,958.5,958.75
10/19/2018,954.75,959,952.25,952.25
10/22/2018,955.75,957,953.5,953.5
10/23/2018,949.25,958.25,949.25,953.5
10/24/2018,954.75,954.75,951,951.5
10/25/2018,946.5,946.75,942.75,943.75
10/26/2018,947.75,950.25,945.75,945.75
10/29/2018,943,948.25,938.5,941.25
10/30/2018,939,940.75,936.5,936.5
10/31/2018,936,941.5,934,941
11/1/2018,944.5,969.25,939.75,964.75
11/2/2018,963,978,961.75,966.75
11/5/2018,972.5,973.25,962.75,968.25
11/6/2018,967.5,969,963.25,968.25
11/7/2018,963,964.5,962.5,964.25
11/8/2018,965,965.75,951.5,965.75
11/9/2018,966,971.5,963.25,970.5
11/12/2018,967,969.5,965.75,969.5
11/13/2018,969.75,972.25,965,966.25
11/14/2018,970,974.5,970,973.5
11/15/2018,979.75,983.25,970.5,973.5
11/16/2018,970.25,976.25,967,973.25
11/19/2018,962.5,962.5,957.75,959.25
11/20/2018,961,969.75,961,966.75
11/21/2018,965,973.25,963.75,967.75
11/23/2018,966.5,968.5,965.75,967.75
11/26/2018,952.25,954,949,953.25
11/27/2018,955.25,966.75,954,964
11/28/2018,973,976.75,970.25,973
11/29/2018,968.5,975.25,967,968
11/30/2018,972.5,975,971.5,973
12/3/2018,982.75,990,980.5,983
12/4/2018,979.75,987.75,979.25,986.75
12/5/2018,988,989,987.5,987.75
12/6/2018,982,987.25,975.5,987
12/7/2018,987,992.75,985,992.75
12/10/2018,989.5,991.5,987,989.25
12/11/2018,990,994.25,990,993.5
12/12/2018,995,1000,992,995.75
12/13/2018,989,989,985.25,986.5
12/14/2018,987,987,980.5,981.75
12/17/2018,985,987.5,984.25,984.25
12/18/2018,987.5,991.5,986.75,987
12/19/2018,986,987.75,980,981.5
12/20/2018,978,983.25,975.25,975.25
12/21/2018,974.75,975.25,969,970.75
12/24/2018,968,972,968,971.25
12/26/2018,963.75,971.75,960.25,960.25
12/27/2018,962.25,964.75,959.5,961
12/28/2018,970,974.25,969.25,970.5
12/31/2018,974.5,974.5,968,970.5
1/2/2019,974,980.75,974,978
1/3/2019,980,980.75,980,980.75
1/4/2019,981,989,981,988.5
1/7/2019,990,992.75,989.25,990.5
1/8/2019,991.5,991.75,984,988.5
1/9/2019,991,994.5,991,993.5
1/10/2019,992,992.5,978.75,980.75
1/11/2019,981,986.25,981,985
1/14/2019,981,981,978.5,980.5
1/15/2019,978.25,978.25,970.5,972.75
1/16/2019,975.25,976.25,970.25,972
1/17/2019,972,982,971.5,979.25
1/18/2019,977.5,989,977.5,986.25
1/22/2019,986,986.5,972.5,980.75
1/23/2019,984,984.25,981.25,984.25
1/24/2019,981.25,985.5,981,983.5
1/25/2019,983,989,981,988.75
1/28/2019,984,986.25,982.75,986
1/29/2019,984,984,981.75,983
1/30/2019,983.25,986.75,981.75,984.25
1/31/2019,985,989,979.5,981.25
2/1/2019,986.5,990.5,982.25,982.25
2/4/2019,981.5,986,980.75,982.75
2/5/2019,981.25,985,979,984.5
2/6/2019,984.25,989,984,988.5
2/7/2019,987.25,988.25,980.5,982.25
2/8/2019,982.75,985,978,982.75
2/11/2019,985,985,974.75,976.5
2/12/2019,980.25,989.75,979.25,987.75
2/13/2019,987,989,983,985.25
2/14/2019,982.5,985.5,974.5,975.25
2/15/2019,977.5,979.5,973.5,979
2/19/2019,980.25,981.25,968.25,973.5
2/20/2019,973.5,976.75,966.5,975.75
2/21/2019,975,983.75,973,980.25
2/22/2019,981.25,982.25,977.5,980.25
2/25/2019,985,987.5,980,980
2/26/2019,977.75,978.5,971.25,975.75
2/27/2019,976.25,980.5,973,976
2/28/2019,976.75,977,970.5,971.75
3/1/2019,977,977.25,964.5,972.5
3/4/2019,979,983.75,978.25,978.25
3/5/2019,976.5,979,974,978.5
3/6/2019,977,979,966.5,967.75
3/7/2019,970,971,963,964
3/8/2019,964,965.25,956.25,959.5
3/11/2019,958.5,961.25,954.5,955.75
3/12/2019,955.25,964,954.25,962.25
3/13/2019,960,966.75,957.5,966
3/14/2019,968,968.5,961.75,962.75
3/15/2019,964.5,972.5,962.25,970.25
3/18/2019,967.25,969.25,964,967.25
3/19/2019,967.25,969.5,963.75,967.5
3/20/2019,966,970.25,964.75,968.25
3/21/2019,968.75,973.5,966.5,971.75
3/22/2019,970.75,972.25,961.5,962
3/25/2019,965,965.25,959.75,964.25
3/26/2019,964.75,964.75,959.25,960
3/27/2019,958.75,959,947.75,950.75
3/28/2019,952,953.5,950,950
3/29/2019,952,953,944.75,945.75
4/1/2019,949.75,958.5,949.5,955.75
4/2/2019,957,963,953.5,963
4/3/2019,965,965.25,959,962.5
4/4/2019,962.75,969.75,962.75,969.75
4/5/2019,966,966,963.5,965.25
4/8/2019,968,968.75,963.25,964.5
4/9/2019,963.75,966.75,960.25,964
4/10/2019,963.75,968,962.75,966
4/11/2019,965.25,967,959,960.5
4/12/2019,960.5,962.75,958.75,959.75
4/15/2019,963,965.75,961.5,962.75
4/16/2019,961.75,961.75,952.25,954
4/17/2019,955,955.5,946,946.25
4/18/2019,945.75,948.5,944.5,947.5
4/22/2019,948,948.25,943.25,944
4/23/2019,945.25,945.25,931.25,932.75
4/24/2019,932.5,934.5,925.5,926
4/25/2019,929,932.5,924.5,929.75
4/26/2019,926.25,929.25,923.25,924.25
4/29/2019,926.75,929.25,916.75,917.25
4/30/2019,917.5,920.5,910.25,912.5
5/1/2019,912.5,915.5,903.75,911.25
5/2/2019,910.75,912.5,902.75,904.5
5/3/2019,905,908.5,903.25,905
5/6/2019,896.75,898.75,885.25,897
5/7/2019,897.25,900,893.75,895.75
5/8/2019,896,899,891.5,894
5/9/2019,893,893.25,876.75,882.5
5/10/2019,883,886.5,879,881.75
5/13/2019,877.75,880.25,866,878
5/14/2019,880.5,908.25,880.5,903.25
5/15/2019,902.5,914.75,899,904
5/16/2019,903.5,913,902.75,907.5
5/17/2019,907.75,908.5,889,890
5/20/2019,895.25,903.75,893,899.5
5/21/2019,904.75,909.5,886.25,890
5/22/2019,890.25,902.5,887.5,896.75
5/23/2019,896,902.5,888.75,893
5/24/2019,892.25,901,891.5,898.75
5/28/2019,907.5,922.5,906.5,921.75
5/29/2019,926.75,951.75,926.75,932.75
5/30/2019,930.5,946.25,926.25,945.25
5/31/2019,944.75,948.25,935.5,937
